Caso,TP,FP,FN,TN,Precisión,Recall,Especificidad,Exactitud,Dice,FPR,IoU
ATM_018_0000.nii.gz,126278,6724,35843,177826931,0.9494443692576051,0.7789120471746411,0.999962189384231,0.9997608538755437,0.8557652233136692,3.7810615768989284e-05,0.7478930379934259
ATM_019_0000.nii.gz,165907,37827,58664,209190658,0.814331432161544,0.7387730383709383,0.9998192072174111,0.9995393192066866,0.7747142807111754,0.00018079278258885257,0.6322723496368112
ATM_020_0000.nii.gz,120002,27563,39717,177808494,0.8132145156371768,0.7513320268721942,0.9998450089342681,0.9996220135021631,0.7810494526236316,0.00015499106573196232,0.6407556519046145
ATM_021_0000.nii.gz,89350,6347,58074,189638485,0.9336760817998474,0.6060749945734751,0.9999665321752612,0.9996605709771424,0.7350249464258538,3.346782473882547e-05,0.5810588472468801
ATM_022_0000.nii.gz,157607,29483,70796,171446434,0.842412742530333,0.6900390975600146,0.9998280633192357,0.9994159785845808,0.7586505669168915,0.00017193668076433146,0.611149887934979
ATM_023_0000.nii.gz,112132,31039,29658,209280227,0.7832033023447486,0.7908315113900839,0.9998517088898597,0.9997102119149792,0.786998922659592,0.00014829111014024444,0.6488031522487545
ATM_024_0000.nii.gz,108051,17523,57036,172045998,0.8604567824549668,0.6545094404768395,0.9998981597034737,0.999567092825833,0.7434846780269799,0.00010184029652630438,0.5917036306883522
ATM_025_0000.nii.gz,152385,35223,60171,209205277,0.812252142765767,0.7169169536498616,0.9998316626083382,0.9995445566571252,0.7616127387771013,0.00016833739166174808,0.6150036928068965
ATM_026_0000.nii.gz,117737,7894,24184,177845961,0.9371651901202729,0.8295953382515625,0.999955615243763,0.9998197822402257,0.8801055495754097,4.438475623708016e-05,0.7858825885258486
ATM_027_0000.nii.gz,35327,4882,13176,161165175,0.8785843965281405,0.7283467002041111,0.999969709013629,0.9998879905638656,0.796442420416629,3.029098637099818e-05,0.6617401891917205
ATM_028_0000.nii.gz,141939,23844,37368,184084081,0.8561734315339933,0.7915976509561813,0.9998704890080098,0.9996678445959837,0.8226201860384248,0.00012951099199016013,0.6986871834251369
ATM_029_0000.nii.gz,86266,13612,46800,179946250,0.8637137307515168,0.6482948311364285,0.9999243609111014,0.999664550958936,0.7406586990864757,7.563908889861229e-05,0.5881318261770682
ATM_030_0000.nii.gz,124094,33991,58731,200323344,0.784982762437929,0.6787583754956926,0.9998303481127856,0.9995376387452768,0.7280161919568214,0.0001696518872144112,0.5723470592576194
